extinction_rate,HSIC-X_powers,HSIC-X_stds
0.2,0.04666666666666667,0.21092389359408498
0.225,0.1,0.30000000000000004
0.25,0.06666666666666667,0.24944382578492943
0.275,0.06666666666666667,0.24944382578492946
0.3,0.09666666666666666,0.29550333707459586
0.325,0.08333333333333333,0.2763853991962833
0.35,0.12,0.3249615361854384
0.375,0.11,0.31288975694324034
0.4,0.14333333333333334,0.3504124553849205
0.425,0.18666666666666668,0.3896437118987322
0.45,0.2,0.4000000000000001
0.475,0.25666666666666665,0.43679387460092534
0.5,0.35,0.47696960070847283
0.525,0.37333333333333335,0.4836895239257882
0.55,0.42,0.4935585071701226
0.575,0.5066666666666667,0.4999555535800713
0.6,0.5866666666666667,0.492431608336517
0.625,0.6633333333333333,0.47256980671877696
0.65,0.7233333333333334,0.4473502232280903
0.675,0.82,0.38418745424597095
0.7,0.8966666666666666,0.3043937508483963
0.725,0.93,0.2551470164434615
0.75,0.9566666666666667,0.20360637405433935
0.775,0.98,0.13999999999999999
0.8,0.9933333333333333,0.08137703743822466
0.825,1.0,0.0
0.85,1.0,0.0
0.875,1.0,0.0
0.9,1.0,0.0
0.925,1.0,0.0
0.95,1.0,0.0
0.975,1.0,0.0
