n,d,pval,test
10,1,0.11688311688311688,LjungBox
10,1,0.6063936063936064,LjungBox
10,1,0.03396603396603397,LjungBox
10,1,0.45254745254745254,LjungBox
10,1,0.18181818181818182,LjungBox
10,1,0.1848151848151848,LjungBox
10,1,0.42657342657342656,LjungBox
10,1,0.3036963036963037,LjungBox
10,1,0.41358641358641357,LjungBox
10,1,0.26573426573426573,LjungBox
10,1,0.012987012987012988,LjungBox
10,1,0.2947052947052947,LjungBox
10,1,0.03196803196803197,LjungBox
10,1,0.46253746253746253,LjungBox
10,1,0.3356643356643357,LjungBox
10,1,0.11488511488511488,LjungBox
10,1,0.16283716283716285,LjungBox
10,1,0.7222777222777222,LjungBox
10,1,0.07092907092907093,LjungBox
10,1,0.03296703296703297,LjungBox
10,1,0.9180819180819181,LjungBox
10,1,0.1028971028971029,LjungBox
10,1,0.45354645354645357,LjungBox
10,1,0.4355644355644356,LjungBox
10,1,0.10989010989010989,LjungBox
10,1,0.6933066933066933,LjungBox
10,1,0.44555444555444557,LjungBox
10,1,0.22677322677322678,LjungBox
10,1,0.8561438561438561,LjungBox
10,1,0.07292707292707293,LjungBox
10,1,0.2097902097902098,LjungBox
10,1,0.3696303696303696,LjungBox
10,1,0.5174825174825175,LjungBox
10,1,0.09490509490509491,LjungBox
10,1,0.3246753246753247,LjungBox
10,1,0.27372627372627373,LjungBox
10,1,0.026973026973026972,LjungBox
10,1,0.7002997002997003,LjungBox
10,1,0.06293706293706294,LjungBox
10,1,0.16583416583416583,LjungBox
10,1,0.7292707292707292,LjungBox
10,1,0.4875124875124875,LjungBox
10,1,0.12487512487512488,LjungBox
10,1,0.34865134865134867,LjungBox
10,1,0.6483516483516484,LjungBox
10,1,0.04495504495504495,LjungBox
10,1,0.07492507492507493,LjungBox
10,1,0.07392607392607392,LjungBox
10,1,0.8951048951048951,LjungBox
10,1,0.46553446553446554,LjungBox
10,1,0.3856143856143856,LjungBox
10,1,0.5954045954045954,LjungBox
10,1,0.3006993006993007,LjungBox
10,1,0.07592407592407592,LjungBox
10,1,0.2917082917082917,LjungBox
10,1,0.056943056943056944,LjungBox
10,1,0.07792207792207792,LjungBox
10,1,0.9690309690309691,LjungBox
10,1,0.7552447552447552,LjungBox
10,1,0.8901098901098901,LjungBox
10,1,0.027972027972027972,LjungBox
10,1,0.3036963036963037,LjungBox
10,1,0.27372627372627373,LjungBox
10,1,0.7472527472527473,LjungBox
10,1,0.24175824175824176,LjungBox
10,1,0.005994005994005994,LjungBox
10,1,0.33766233766233766,LjungBox
10,1,0.37662337662337664,LjungBox
10,1,0.35564435564435565,LjungBox
10,1,0.022977022977022976,LjungBox
10,1,0.15284715284715283,LjungBox
10,1,0.18181818181818182,LjungBox
10,1,0.6523476523476524,LjungBox
10,1,0.12187812187812187,LjungBox
10,1,0.2627372627372627,LjungBox
10,1,0.4245754245754246,LjungBox
10,1,0.7452547452547452,LjungBox
10,1,0.053946053946053944,LjungBox
10,1,0.013986013986013986,LjungBox
10,1,0.04695304695304695,LjungBox
10,1,0.5144855144855145,LjungBox
10,1,0.998001998001998,LjungBox
10,1,0.43656343656343655,LjungBox
10,1,0.12687312687312688,LjungBox
10,1,0.03496503496503497,LjungBox
10,1,0.945054945054945,LjungBox
10,1,0.052947052947052944,LjungBox
10,1,0.9110889110889111,LjungBox
10,1,0.02197802197802198,LjungBox
10,1,0.21178821178821178,LjungBox
10,1,0.024975024975024976,LjungBox
10,1,0.22377622377622378,LjungBox
10,1,0.4225774225774226,LjungBox
10,1,0.059940059940059943,LjungBox
10,1,0.06593406593406594,LjungBox
10,1,0.08191808191808192,LjungBox
10,1,0.23676323676323677,LjungBox
10,1,0.7442557442557443,LjungBox
10,1,0.7212787212787213,LjungBox
10,1,0.25074925074925075,LjungBox
10,1,0.957042957042957,LjungBox
10,1,0.44655344655344653,LjungBox
10,1,0.20279720279720279,LjungBox
10,1,0.022977022977022976,LjungBox
10,1,0.33166833166833165,LjungBox
10,1,0.43656343656343655,LjungBox
10,1,0.03896103896103896,LjungBox
10,1,0.8241758241758241,LjungBox
10,1,0.004995004995004995,LjungBox
10,1,0.3156843156843157,LjungBox
10,1,0.061938061938061936,LjungBox
10,1,0.23376623376623376,LjungBox
10,1,0.6613386613386614,LjungBox
10,1,0.24875124875124874,LjungBox
10,1,0.6673326673326674,LjungBox
10,1,0.6623376623376623,LjungBox
10,1,0.46853146853146854,LjungBox
10,1,0.25874125874125875,LjungBox
10,1,0.06293706293706294,LjungBox
10,1,0.003996003996003996,LjungBox
10,1,0.09490509490509491,LjungBox
10,1,0.5004995004995005,LjungBox
10,1,0.2627372627372627,LjungBox
10,1,0.058941058941058944,LjungBox
10,1,0.25774225774225773,LjungBox
10,1,0.4275724275724276,LjungBox
10,1,0.913086913086913,LjungBox
10,1,0.06293706293706294,LjungBox
10,1,0.23876123876123875,LjungBox
10,1,0.022977022977022976,LjungBox
10,1,0.030969030969030968,LjungBox
